ID,T_eff (K),T_eff error,log g,log g error,Gaia Source ID,Parallax (mas),Parallax Error (mas),Phot_g_mean_mag value,bp_rp value
Tr 14-30,26100,1300,3.24,0.11,5350363497939741056,0.215053668,0.08332243197,9.859367,0.87650204
HD 111613*,9150,150,1.45,0.1,6056416676437740416,0.304103412,0.05998144266,5.557423,0.65694475
HD 92207 *(A),9500,200,1.2,0.1,5350668303173229824,0.4601446372,0.07668227248,5.2057366,0.8962817
HD 161695,9950,200,2.2,0.2,4598003837468318464,0.5273058281,0.04170084457,6.2028584,0.0676074
HD 207673,9300,200,1.75,0.2,1960290835599977728,0.5135067827,0.02625413503,6.3228164,0.67802906
HD 14489,9000,200,1.4,0.2,457487413730043904,0.7603019521,0.1138905739,5.0251026,0.5955467
HD 210221,8200,150,1.3,0.2,2005264640760913536,0.4381166593,0.0293895117,6.018559,0.66809464
HD 46300,9700,200,2.1,0.2,3324424744330466304,2.562450611,0.405821263,4.404881,0.0858717
HD 148743,7800,500,1.15,0.3,4351018375858237952,0.3612025063,0.05570332694,6.347581,0.6080365
HD 13476,8400,150,1.2,0.2,506810435899344896,0.3266234046,0.03473709943,6.2295804,0.9259491
HD 67456,8300,150,2.5,0.2,5713071321401501568,2.328585395,0.1101158559,5.2795134,0.20055532
HD 195324,9300,200,1.9,0.25,2.05697E+18,0.9388306638,0.04373683059,5.7201357,0.70707893
HD 15316,8350,150,1.2,0.2,458089636866031744,0.4243017116,0.03627768247,6.9175577,1.1798158
HD 30614,32500,1000,3.04,0.2,482818271843093376,1.36859034,0.3296762744,4.1665764,0.06088543
HD 167264,29000,1000,3.08,0.2,4093968702062993664,1.160504313,0.1345499891,5.2625313,0.08219385
HD 204172,28500,1000,3.02,0.2,1963714268134133120,0.5185322296,0.06483192463,5.8642554,0.119680405
HD 213087,26000,1000,2.92,0.2,2206444069986109312,0.9968336223,0.07511391302,5.3713794,0.50998735
HD 2905,24000,1000,2.7,0.2,430769040655815936,1.919858191,0.3055622891,4.0247364,0.21974063
HD 13854,23500,1000,2.64,0.2,458535660628422400,0.3217871724,0.04123284676,6.3676424,0.4522767
HD 24398,23000,1000,2.73,0.2,168726523211214592,3.39562301,0.6646016525,2.7202692,0.5472834
HD 190603,21000,1000,2.35,0.2,2031043893478042624,0.3391529993,0.09277658727,5.4239492,0.80474234
HD 14956,21500,1000,2.49,0.2,458812016003041664,0.2546699963,0.04757389223,6.959014,1.0272765
HD 13841,22000,1000,2.7,0.2,458535248311586304,0.3007718746,0.03965687639,7.299446,0.3670082
HD 193183,22500,1000,2.75,0.2,2061261324856936960,0.4491496981,0.03281978274,6.8484635,0.6487565
HD 41117,19500,1000,2.2,0.2,3374836252947269888,-0.177237809,0.4658979549,4.4730124,0.43607187
HD 14818,20000,1000,2.38,0.2,45762883841339033,0.3147324206,0.03310206087,6.137754,0.45990038
HD 14143,20000,1000,2.31,0.2,458375235013296 000,0.432932282,0.0375904588,6.511413,0.76039124
HD 194279,19000,1000,2.15,0.2,2067567642501401984,0.5839325089,0.02480878916,6.5642695,1.504242
HD 206165 ,20000,1000,2.5,0.2,2216195157578923136,1.339534248,0.2283762333,4.617113,0.44043398
HD 31327,21500,1000,2.9,0.2,186270536902360448,0.7309594225,0.05229134982,5.9406223,0.6037526
HD 42087,20500,1000,2.55,0.2,3425306173127304448,-5.249182224,0.4726857633,5.6627593,0.34443808
HD 198478,18000,1000,2.18,0.2,2166348110749083520,0.8495739911,0.1347620422,4.6331615,0.6191673
HD 224055,17000,1000,2.08,0.2,2012720703980046208,0.2394772129,0.03066508507,6.9328456,1.041789
HD 225094,18000,1000,2.2,0.2,431612056844840704,0.2339128068,0.4881373568,6.129925,0.5277028
HD 53138,18500,1000,2.35,0.2,2921635736289352192,0.7927755036,0.4477603297,3.019445,4.2670274
HD 14134,18000,1000,2.3,0.2,458374788336739200,0.4126704137,0.04364712966,6.436751,0.71249914
HD 4841,14750,1000,1.95,0.2,523812051065920768,0.22630717,0.02530979746,6.669248,0.8728528
HD 7902,15500,1000,2.02,0.2,413827353180436736,0.2432195568,0.03085556113,6.8196216,0.65341663
HD 164353,16500,1000,2.46,0.2,4469314179059129472,1.767200453,0.4963391002,3.8600357,0.104850054
HD 191243,15500,1000,2.43,0.2,2058352669922023424,0.7763475727,0.04473348488,6.071581,0.26708174
HD 15497,15000,1000,2,0.2,458075652452721664,0.3034495698,0.0321127872,6.759004,1.1293731
HD 13267,15000,1000,2,0.2,506664136434780288,0.417365609,0.03970315886,6.263778,0.5262871
HD 12301,14000,1000,2.15,0.2,518061296009524480,0.956238683,0.06867937994,5.459964,0.598022
HD 199478,12500,1000,1.56,0.2,2166846047768767488,0.3193436118,0.06808840234,5.5071726,0.7258935
HD 14542,12500,1000,1.75,0.2,458463951857361024,0.3444299465,0.04279793362,6.7866845,0.9538555
HD 208501,13000,1000,1.8,0.2,2198963817515042560,0.976745659,0.07058395131,5.4665003,1.0701957
HD 14322,13000,1000,1.85,0.2,458241541269642880,0.1885999836,0.04131564773,6.6716866,0.51886606
HD 21291,11500,1000,1.6,0.2,462250738616785152,1.335997416,0.2427371574,3.9976237,0.6937938
HD 35600,11000,1000,2,0.2,3446200914143500160,1.009800073,0.08138361909,5.614982,0.36882687
HD 14899,11000,1000,1.75,0.2,0.5050927308,0.05136260965,0.05136260965,7.2444205,
